"Actiware Export File  (Version 05.00 )"
"Filename:","C:\Users\memlab\Desktop\R56_Sept CSV Files\100126_5_5_2017_12_00_00_PM_New_Analysis.csv"
"Analysis Name:","New Analysis"
"Subject Identity:","100126"
"Data Collection Start Date:","2017-05-05"
"Data Collection Start Time:","12:00:00"



"-------------------- Epoch-by-Epoch Data -------------------"

"Column Title","Notes"
"------------------","---------"
"Line:","Line Number"
"Date:","Date (start of epoch)"
"Time:","Time (start of epoch)"
"Activity:","Activity (counts)"
"Marker:","1 means Event Marker button was pressed"
"White Light:","White Light"
"Sleep/Wake:","Sleep/Wake Score (0=Sleep; 1=Wake)"
"Interval Status:","Interval Status: Active; Rest; Sleep; or Excluded"

"Line","Date","Time","Activity","Marker","White Light","Sleep/Wake","Interval Status",

"1","2017-05-05","12:00:00","51","0","39.74","NaN","ACTIVE",
"2","2017-05-05","12:00:30","66","0","0.41","NaN","ACTIVE",
"3","2017-05-05","12:01:00","82","0","0.72","NaN","ACTIVE",
"4","2017-05-05","12:01:30","134","0","1.11","NaN","ACTIVE",
"5","2017-05-05","12:02:00","0","0","1.41","1","ACTIVE",
"6","2017-05-05","12:02:30","0","0","1.79","1","ACTIVE",
"7","2017-05-05","12:03:00","5","0","1.02","1","ACTIVE",
"8","2017-05-05","12:03:30","73","0","0.65","1","ACTIVE",
"9","2017-05-05","12:04:00","204","0","0.44","1","ACTIVE",
"10","2017-05-05","12:04:30","0","0","0.45","1","ACTIVE",
"11","2017-05-05","12:05:00","0","0","0.45","1","ACTIVE",
"12","2017-05-05","12:05:30","0","0","0.45","0","ACTIVE",
"13","2017-05-05","12:06:00","0","0","0.45","0","ACTIVE",
"14","2017-05-05","12:06:30","82","0","1.02","1","ACTIVE",
"15","2017-05-05","12:07:00","0","0","0.55","0","ACTIVE",
"16","2017-05-05","12:07:30","0","0","0.55","0","ACTIVE",
"17","2017-05-05","12:08:00","0","0","0.55","0","ACTIVE",
"18","2017-05-05","12:08:30","0","0","0.55","0","ACTIVE",
"19","2017-05-05","12:09:00","0","0","0.55","0","ACTIVE",
"20","2017-05-05","12:09:30","57","0","0.45","1","ACTIVE",
"21","2017-05-05","12:10:00","0","0","0.35","0","ACTIVE",
"22","2017-05-05","12:10:30","0","0","0.35","0","ACTIVE",
"23","2017-05-05","12:11:00","0","0","0.35","1","ACTIVE",
"24","2017-05-05","12:11:30","17","0","0.34","1","ACTIVE",
"25","2017-05-05","12:12:00","6","0","0.40","1","ACTIVE",
"26","2017-05-05","12:12:30","329","0","26.91","1","ACTIVE",
"27","2017-05-05","12:13:00","503","0","53.82","1","ACTIVE",
"28","2017-05-05","12:13:30","812","0","28.72","1","ACTIVE",
"29","2017-05-05","12:14:00","553","0","84.82","1","ACTIVE",
"30","2017-05-05","12:14:30","839","0","29.99","1","ACTIVE",
"31","2017-05-05","12:15:00","714","0","84.82","1","ACTIVE",
"32","2017-05-05","12:15:30","387","0","74.48","1","ACTIVE",
"33","2017-05-05","12:16:00","70","0","37.24","1","ACTIVE",
"34","2017-05-05","12:16:30","487","0","279.17","1","ACTIVE",
"35","2017-05-05","12:17:00","297","0","789.61","1","ACTIVE",
"36","2017-05-05","12:17:30","340","0","173.34","1","ACTIVE",
"37","2017-05-05","12:18:00","191","0","83.00","1","ACTIVE",
"38","2017-05-05","12:18:30","185","0","83.00","1","ACTIVE",
"39","2017-05-05","12:19:00","149","0","76.11","1","ACTIVE",
"40","2017-05-05","12:19:30","362","0","79.48","1","ACTIVE",
"41","2017-05-05","12:20:00","503","0","125.26","1","ACTIVE",
"42","2017-05-05","12:20:30","375","0","119.95","1","ACTIVE",
"43","2017-05-05","12:21:00","340","0","69.79","1","ACTIVE",
"44","2017-05-05","12:21:30","471","0","96.59","1","ACTIVE",
"45","2017-05-05","12:22:00","608","0","72.88","1","ACTIVE",
"46","2017-05-05","12:22:30","185","0","17.83","1","ACTIVE",
"47","2017-05-05","12:23:00","714","0","229.72","1","ACTIVE",
"48","2017-05-05","12:23:30","670","0","3090.77","1","ACTIVE",
"49","2017-05-05","12:24:00","762","0","708.56","1","ACTIVE",
"50","2017-05-05","12:24:30","76","0","490.29","1","ACTIVE",
"51","2017-05-05","12:25:00","362","0","523.21","1","ACTIVE",
"52","2017-05-05","12:25:30","427","0","635.83","1","ACTIVE",
"53","2017-05-05","12:26:00","130","0","789.61","1","ACTIVE",
"54","2017-05-05","12:26:30","471","0","412.29","1","ACTIVE",
"55","2017-05-05","12:27:00","362","0","756.14","1","ACTIVE",
"56","2017-05-05","12:27:30","288","0","899.20","1","ACTIVE",
"57","2017-05-05","12:28:00","455","0","724.08","1","ACTIVE",
"58","2017-05-05","12:28:30","36","0","939.01","1","ACTIVE",
"59","2017-05-05","12:29:00","40","0","824.57","1","ACTIVE",
"60","2017-05-05","12:29:30","33","0","512.00","1","ACTIVE",
"61","2017-05-05","12:30:00","46","0","595.83","1","ACTIVE",
"62","2017-05-05","12:30:30","149","0","663.98","1","ACTIVE",
"63","2017-05-05","12:31:00","670","0","663.98","1","ACTIVE",
"64","2017-05-05","12:31:30","536","0","9955.31","1","ACTIVE",
"65","2017-05-05","12:32:00","714","0","3596.80","1","ACTIVE",
"66","2017-05-05","12:32:30","692","0","12098.16","1","ACTIVE",
"67","2017-05-05","12:33:00","471","0","708.56","1","ACTIVE",
"68","2017-05-05","12:33:30","198","0","3158.45","1","ACTIVE",
"69","2017-05-05","12:34:00","57","0","2896.31","1","ACTIVE",
"70","2017-05-05","12:34:30","362","0","7193.61","1","ACTIVE",
"71","2017-05-05","12:35:00","487","0","11838.92","1","ACTIVE",
"72","2017-05-05","12:35:30","471","0","11838.92","1","ACTIVE",
"73","2017-05-05","12:36:00","553","0","5198.03","1","ACTIVE",
"74","2017-05-05","12:36:30","536","0","5198.03","1","ACTIVE",
"75","2017-05-05","12:37:00","629","0","9328.96","1","ACTIVE",
"76","2017-05-05","12:37:30","455","0","3090.77","1","ACTIVE",
"77","2017-05-05","12:38:00","812","0","6455.22","1","ACTIVE",
"78","2017-05-05","12:38:30","649","0","1386.76","1","ACTIVE",
"79","2017-05-05","12:39:00","387","0","4096.00","1","ACTIVE",
"80","2017-05-05","12:39:30","518","0","96.59","1","ACTIVE",
"81","2017-05-05","12:40:00","375","0","169.63","1","ACTIVE",
"82","2017-05-05","12:40:30","518","0","114.86","1","ACTIVE",
"83","2017-05-05","12:41:00","172","0","81.22","1","ACTIVE",
"84","2017-05-05","12:41:30","259","0","86.67","1","ACTIVE",
"85","2017-05-05","12:42:00","269","0","74.48","1","ACTIVE",
"86","2017-05-05","12:42:30","243","0","65.40","1","ACTIVE",
"87","2017-05-05","12:43:00","518","0","1479.87","1","ACTIVE",
"88","2017-05-05","12:43:30","288","0","1722.16","1","ACTIVE",
"89","2017-05-05","12:44:00","362","0","1722.16","1","ACTIVE",
"90","2017-05-05","12:44:30","441","0","5086.65","1","ACTIVE",
"91","2017-05-05","12:45:00","329","0","122.57","1","ACTIVE",
"92","2017-05-05","12:45:30","318","0","107.63","1","ACTIVE",
"93","2017-05-05","12:46:00","318","0","77.78","1","ACTIVE",
"94","2017-05-05","12:46:30","375","0","57.43","1","ACTIVE",
"95","2017-05-05","12:47:00","553","0","25.77","1","ACTIVE",
"96","2017-05-05","12:47:30","589","0","11.56","1","ACTIVE",
"97","2017-05-05","12:48:00","235","0","10.60","1","ACTIVE",
"98","2017-05-05","12:48:30","400","0","45.25","1","ACTIVE",
"99","2017-05-05","12:49:00","251","0","9.31","1","ACTIVE",
"100","2017-05-05","12:49:30","412","0","2435.50","1","ACTIVE",
"101","2017-05-05","12:50:00","329","0","2282.26","1","ACTIVE",
"102","2017-05-05","12:50:30","243","0","13777.25","1","ACTIVE",
"103","2017-05-05","12:51:00","269","0","3227.61","1","ACTIVE",
"104","2017-05-05","12:51:30","570","0","2896.31","1","ACTIVE",
"105","2017-05-05","12:52:00","608","0","1759.87","1","ACTIVE",
"106","2017-05-05","12:52:30","714","0","4664.48","1","ACTIVE",
"107","2017-05-05","12:53:00","487","0","4664.48","1","ACTIVE",
"108","2017-05-05","12:53:30","589","0","2383.31","1","ACTIVE",
"109","2017-05-05","12:54:00","503","0","4466.72","1","ACTIVE",
"110","2017-05-05","12:54:30","570","0","3024.54","1","ACTIVE",
"111","2017-05-05","12:55:00","503","0","4870.99","1","ACTIVE",
"112","2017-05-05","12:55:30","455","0","3298.28","1","ACTIVE",
"113","2017-05-05","12:56:00","471","0","3298.28","1","ACTIVE",
"114","2017-05-05","12:56:30","487","0","2383.31","1","ACTIVE",
"115","2017-05-05","12:57:00","487","0","2092.85","1","ACTIVE",
"116","2017-05-05","12:57:30","589","0","1837.78","1","ACTIVE",
"117","2017-05-05","12:58:00","503","0","1878.02","1","ACTIVE",
"118","2017-05-05","12:58:30","455","0","3024.54","1","ACTIVE",
"119","2017-05-05","12:59:00","455","0","3756.05","1","ACTIVE",
"120","2017-05-05","12:59:30","503","0","3158.45","1","ACTIVE",
"121","2017-05-05","13:00:00","455","0","6596.57","1","ACTIVE",
"122","2017-05-05","13:00:30","487","0","3298.28","1","ACTIVE",
"123","2017-05-05","13:01:00","362","0","1479.87","1","ACTIVE",
"124","2017-05-05","13:01:30","400","0","6049.08","1","ACTIVE",
"125","2017-05-05","13:02:00","487","0","92.49","1","ACTIVE",
"126","2017-05-05","13:02:30","455","0","94.52","1","ACTIVE",
"127","2017-05-05","13:03:00","387","0","39.74","1","ACTIVE",
"128","2017-05-05","13:03:30","441","0","16.35","1","ACTIVE",
"129","2017-05-05","13:04:00","318","0","20.75","1","ACTIVE",
"130","2017-05-05","13:04:30","362","0","43.34","1","ACTIVE",
"131","2017-05-05","13:05:00","329","0","36.44","1","ACTIVE",
"132","2017-05-05","13:05:30","307","0","29.34","1","ACTIVE",
"133","2017-05-05","13:06:00","269","0","49.35","1","ACTIVE",
"134","2017-05-05","13:06:30","329","0","28.72","1","ACTIVE",
"135","2017-05-05","13:07:00","27","0","13.45","1","ACTIVE",
"136","2017-05-05","13:07:30","340","0","13.45","1","ACTIVE",
"137","2017-05-05","13:08:00","185","0","40.61","1","ACTIVE",
"138","2017-05-05","13:08:30","101","0","31.31","1","ACTIVE",
"139","2017-05-05","13:09:00","191","0","12.34","1","ACTIVE",
"140","2017-05-05","13:09:30","66","0","37.24","1","ACTIVE",
"141","2017-05-05","13:10:00","185","0","51.54","1","ACTIVE",
"142","2017-05-05","13:10:30","259","0","44.29","1","ACTIVE",
"143","2017-05-05","13:11:00","166","0","14.05","1","ACTIVE",
"144","2017-05-05","13:11:30","307","0","23.63","1","ACTIVE",
"145","2017-05-05","13:12:00","412","0","6455.22","1","ACTIVE",
"146","2017-05-05","13:12:30","387","0","18657.91","1","ACTIVE",
"147","2017-05-05","13:13:00","340","0","2896.31","1","ACTIVE",
"148","2017-05-05","13:13:30","518","0","8016.46","1","ACTIVE",
"149","2017-05-05","13:14:00","487","0","5547.03","1","ACTIVE",
"150","2017-05-05","13:14:30","455","0","5792.62","1","ACTIVE",
"151","2017-05-05","13:15:00","570","0","4766.62","1","ACTIVE",
"152","2017-05-05","13:15:30","536","0","5668.50","1","ACTIVE",
"153","2017-05-05","13:16:00","455","0","2488.83","1","ACTIVE",
"154","2017-05-05","13:16:30","553","0","3298.28","1","ACTIVE",
"155","2017-05-05","13:17:00","536","0","3444.31","1","ACTIVE",
"156","2017-05-05","13:17:30","553","0","18258.11","1","ACTIVE",
"157","2017-05-05","13:18:00","518","0","10173.30","1","ACTIVE",
"158","2017-05-05","13:18:30","471","0","8016.46","1","ACTIVE",
"159","2017-05-05","13:19:00","441","0","12098.16","1","ACTIVE",
"160","2017-05-05","13:19:30","629","0","19483.97","1","ACTIVE",
"161","2017-05-05","13:20:00","518","0","20346.60","1","ACTIVE",
"162","2017-05-05","13:20:30","553","0","20792.13","1","ACTIVE",
"163","2017-05-05","13:21:00","441","0","595.83","1","ACTIVE",
"164","2017-05-05","13:21:30","570","0","189.03","1","ACTIVE",
"165","2017-05-05","13:22:00","387","0","10.15","1","ACTIVE",
"166","2017-05-05","13:22:30","340","0","25.22","1","ACTIVE",
"167","2017-05-05","13:23:00","307","0","41.50","1","ACTIVE",
"168","2017-05-05","13:23:30","139","0","56.20","1","ACTIVE",
"169","2017-05-05","13:24:00","318","0","189.03","1","ACTIVE",
"170","2017-05-05","13:24:30","153","0","69.79","1","ACTIVE",
"171","2017-05-05","13:25:00","351","0","88.57","1","ACTIVE",
"172","2017-05-05","13:25:30","387","0","166.00","1","ACTIVE",
"173","2017-05-05","13:26:00","149","0","166.00","1","ACTIVE",
"174","2017-05-05","13:26:30","130","0","239.89","1","ACTIVE",
"175","2017-05-05","13:27:00","144","0","256.00","1","ACTIVE",
"176","2017-05-05","13:27:30","172","0","430.54","1","ACTIVE",
"177","2017-05-05","13:28:00","32","0","148.96","1","ACTIVE",
"178","2017-05-05","13:28:30","134","0","273.19","1","ACTIVE",
"179","2017-05-05","13:29:00","125","0","469.51","1","ACTIVE",
"180","2017-05-05","13:29:30","111","0","297.91","1","ACTIVE",
"181","2017-05-05","13:30:00","49","0","122.57","1","ACTIVE",
"182","2017-05-05","13:30:30","0","0","51.54","1","ACTIVE",
"183","2017-05-05","13:31:00","0","0","38.89","1","ACTIVE",
"184","2017-05-05","13:31:30","288","0","155.55","1","ACTIVE",
"185","2017-05-05","13:32:00","235","0","21.67","1","ACTIVE",
"186","2017-05-05","13:32:30","82","0","378.07","1","ACTIVE",
"187","2017-05-05","13:33:00","24","0","158.96","1","ACTIVE",
"188","2017-05-05","13:33:30","54","0","130.80","1","ACTIVE",
"189","2017-05-05","13:34:00","0","0","173.34","1","ACTIVE",
"190","2017-05-05","13:34:30","30","0","394.81","1","ACTIVE",
"191","2017-05-05","13:35:00","120","0","362.04","1","ACTIVE",
"192","2017-05-05","13:35:30","82","0","256.00","1","ACTIVE",
