Time,Activity
2017-10-23 13:25:00,252.0
2017-10-23 13:25:30,288.0
2017-10-23 13:26:00,270.0
2017-10-23 13:26:30,288.0
2017-10-23 13:27:00,235.0
2017-10-23 13:27:30,252.0
2017-10-23 13:28:00,270.0
2017-10-23 13:28:30,416.0
2017-10-23 13:29:00,288.0
2017-10-23 13:29:30,244.0
2017-10-23 13:30:00,235.0
2017-10-23 13:30:30,226.0
2017-10-23 13:31:00,365.0
2017-10-23 13:31:30,330.0
2017-10-23 13:32:00,352.0
2017-10-23 13:32:30,319.0
2017-10-23 13:33:00,402.0
2017-10-23 13:33:30,558.0
2017-10-23 13:34:00,288.0
2017-10-23 13:34:30,252.0
2017-10-23 13:35:00,298.0
2017-10-23 13:35:30,288.0
2017-10-23 13:36:00,184.0
2017-10-23 13:36:30,26.0
2017-10-23 13:37:00,56.0
2017-10-23 13:37:30,235.0
2017-10-23 13:38:00,212.0
2017-10-23 13:38:30,309.0
2017-10-23 13:39:00,298.0
2017-10-23 13:39:30,377.0
2017-10-23 13:40:00,270.0
2017-10-23 13:40:30,261.0
2017-10-23 13:41:00,377.0
2017-10-23 13:41:30,377.0
2017-10-23 13:42:00,458.0
2017-10-23 13:42:30,319.0
2017-10-23 13:43:00,319.0
2017-10-23 13:43:30,416.0
2017-10-23 13:44:00,298.0
2017-10-23 13:44:30,298.0
2017-10-23 13:45:00,165.0
2017-10-23 13:45:30,28.0
2017-10-23 13:46:00,133.0
2017-10-23 13:46:30,226.0
2017-10-23 13:47:00,14.0
2017-10-23 13:47:30,128.0
2017-10-23 13:48:00,252.0
2017-10-23 13:48:30,226.0
2017-10-23 13:49:00,235.0
2017-10-23 13:49:30,309.0
2017-10-23 13:50:00,270.0
2017-10-23 13:50:30,170.0
2017-10-23 13:51:00,139.0
2017-10-23 13:51:30,133.0
2017-10-23 13:52:00,252.0
2017-10-23 13:52:30,154.0
2017-10-23 13:53:00,154.0
2017-10-23 13:53:30,133.0
2017-10-23 13:54:00,252.0
2017-10-23 13:54:30,309.0
2017-10-23 13:55:00,133.0
2017-10-23 13:55:30,298.0
2017-10-23 13:56:00,444.0
2017-10-23 13:56:30,444.0
2017-10-23 13:57:00,402.0
2017-10-23 13:57:30,270.0
2017-10-23 13:58:00,558.0
2017-10-23 13:58:30,523.0
2017-10-23 13:59:00,98.0
2017-10-23 13:59:30,614.0
2017-10-23 14:00:00,675.0
2017-10-23 14:00:30,352.0
2017-10-23 14:01:00,56.0
2017-10-23 14:01:30,81.0
2017-10-23 14:02:00,279.0
2017-10-23 14:02:30,2.0
2017-10-23 14:03:00,154.0
2017-10-23 14:03:30,473.0
2017-10-23 14:04:00,633.0
2017-10-23 14:04:30,1163.0
2017-10-23 14:05:00,540.0
2017-10-23 14:05:30,575.0
2017-10-23 14:06:00,352.0
2017-10-23 14:06:30,60.0
2017-10-23 14:07:00,184.0
2017-10-23 14:07:30,77.0
2017-10-23 14:08:00,288.0
2017-10-23 14:08:30,402.0
2017-10-23 14:09:00,252.0
2017-10-23 14:09:30,309.0
2017-10-23 14:10:00,523.0
2017-10-23 14:10:30,235.0
2017-10-23 14:11:00,60.0
2017-10-23 14:11:30,473.0
2017-10-23 14:12:00,81.0
2017-10-23 14:12:30,0.0
2017-10-23 14:13:00,402.0
2017-10-23 14:13:30,992.0
2017-10-23 14:14:00,377.0
2017-10-23 14:14:30,26.0
2017-10-23 14:15:00,28.0
2017-10-23 14:15:30,0.0
2017-10-23 14:16:00,0.0
2017-10-23 14:16:30,0.0
2017-10-23 14:17:00,0.0
2017-10-23 14:17:30,37.0
2017-10-23 14:18:00,0.0
2017-10-23 14:18:30,0.0
2017-10-23 14:19:00,5.0
2017-10-23 14:19:30,9.0
2017-10-23 14:20:00,0.0
2017-10-23 14:20:30,0.0
2017-10-23 14:21:00,112.0
2017-10-23 14:21:30,309.0
2017-10-23 14:22:00,430.0
2017-10-23 14:22:30,244.0
2017-10-23 14:23:00,184.0
2017-10-23 14:23:30,128.0
2017-10-23 14:24:00,56.0
2017-10-23 14:24:30,54.0
2017-10-23 14:25:00,70.0
2017-10-23 14:25:30,614.0
2017-10-23 14:26:00,212.0
2017-10-23 14:26:30,219.0
2017-10-23 14:27:00,309.0
2017-10-23 14:27:30,19.0
2017-10-23 14:28:00,0.0
2017-10-23 14:28:30,473.0
2017-10-23 14:29:00,389.0
2017-10-23 14:29:30,594.0
2017-10-23 14:30:00,244.0
2017-10-23 14:30:30,205.0
2017-10-23 14:31:00,261.0
2017-10-23 14:31:30,88.0
2017-10-23 14:32:00,60.0
2017-10-23 14:32:30,5.0
