Time,Activity
2017-11-03 11:03:00,96.0
2017-11-03 11:03:30,80.0
2017-11-03 11:04:00,54.0
2017-11-03 11:04:30,2.0
2017-11-03 11:05:00,86.0
2017-11-03 11:05:30,272.0
2017-11-03 11:06:00,5.0
2017-11-03 11:06:30,86.0
2017-11-03 11:07:00,54.0
2017-11-03 11:07:30,310.0
2017-11-03 11:08:00,310.0
2017-11-03 11:08:30,493.0
2017-11-03 11:09:00,578.0
2017-11-03 11:09:30,246.0
2017-11-03 11:10:00,432.0
2017-11-03 11:10:30,379.0
2017-11-03 11:11:00,262.0
2017-11-03 11:11:30,432.0
2017-11-03 11:12:00,493.0
2017-11-03 11:12:30,446.0
2017-11-03 11:13:00,355.0
2017-11-03 11:13:30,344.0
2017-11-03 11:14:00,405.0
2017-11-03 11:14:30,366.0
2017-11-03 11:15:00,432.0
2017-11-03 11:15:30,262.0
2017-11-03 11:16:00,493.0
2017-11-03 11:16:30,246.0
2017-11-03 11:17:00,262.0
2017-11-03 11:17:30,493.0
2017-11-03 11:18:00,310.0
2017-11-03 11:18:30,405.0
2017-11-03 11:19:00,301.0
2017-11-03 11:19:30,262.0
2017-11-03 11:20:00,525.0
2017-11-03 11:20:30,272.0
2017-11-03 11:21:00,310.0
2017-11-03 11:21:30,344.0
2017-11-03 11:22:00,291.0
2017-11-03 11:22:30,107.0
2017-11-03 11:23:00,102.0
2017-11-03 11:23:30,107.0
2017-11-03 11:24:00,54.0
2017-11-03 11:24:30,254.0
2017-11-03 11:25:00,206.0
2017-11-03 11:25:30,34.0
2017-11-03 11:26:00,194.0
2017-11-03 11:26:30,322.0
2017-11-03 11:27:00,366.0
2017-11-03 11:27:30,155.0
2017-11-03 11:28:00,222.0
2017-11-03 11:28:30,322.0
2017-11-03 11:29:00,246.0
2017-11-03 11:29:30,291.0
2017-11-03 11:30:00,291.0
2017-11-03 11:30:30,230.0
2017-11-03 11:31:00,214.0
2017-11-03 11:31:30,222.0
2017-11-03 11:32:00,222.0
2017-11-03 11:32:30,246.0
2017-11-03 11:33:00,162.0
2017-11-03 11:33:30,254.0
2017-11-03 11:34:00,214.0
2017-11-03 11:34:30,418.0
2017-11-03 11:35:00,461.0
2017-11-03 11:35:30,238.0
2017-11-03 11:36:00,310.0
2017-11-03 11:36:30,333.0
2017-11-03 11:37:00,291.0
2017-11-03 11:37:30,432.0
2017-11-03 11:38:00,355.0
2017-11-03 11:38:30,291.0
2017-11-03 11:39:00,446.0
2017-11-03 11:39:30,272.0
2017-11-03 11:40:00,822.0
2017-11-03 11:40:30,771.0
