"Actiware Export File  (Version 05.00 )"
"Filename:","C:\Users\memlab\Desktop\Aging_ActigraphReports\30012_10_30_2017_6_24_00_PM_New_Analysis.csv"
"Analysis Name:","New Analysis"
"Subject Identity:","30012"
"Data Collection Start Date:","2017-10-30"
"Data Collection Start Time:","18:24:00"



"-------------------- Epoch-by-Epoch Data -------------------"

"Column Title","Notes"
"------------------","---------"
"Line:","Line Number"
"Date:","Date (start of epoch)"
"Time:","Time (start of epoch)"
"Activity:","Activity (counts)"
"Marker:","1 means Event Marker button was pressed"
"White Light:","White Light"
"Sleep/Wake:","Sleep/Wake Score (0=Sleep; 1=Wake)"
"Interval Status:","Interval Status: Active; Rest; Sleep; or Excluded"

"Line","Date","Time","Activity","Marker","White Light","Sleep/Wake","Interval Status",

"1","2017-10-30","18:24:00","NaN","0","NaN","NaN","ACTIVE",
"2","2017-10-30","18:24:30","NaN","0","NaN","NaN","ACTIVE",
"3","2017-10-30","18:25:00","NaN","0","NaN","NaN","ACTIVE",
"4","2017-10-30","18:25:30","362","0","41.50","NaN","ACTIVE",
"5","2017-10-30","18:26:00","375","0","48.29","NaN","ACTIVE",
"6","2017-10-30","18:26:30","191","0","43.34","1","ACTIVE",
"7","2017-10-30","18:27:00","518","0","84.82","1","ACTIVE",
"8","2017-10-30","18:27:30","412","0","193.17","1","ACTIVE",
"9","2017-10-30","18:28:00","570","0","219.98","1","ACTIVE",
"10","2017-10-30","18:28:30","487","0","201.73","1","ACTIVE",
"11","2017-10-30","18:29:00","503","0","96.59","1","ACTIVE",
"12","2017-10-30","18:29:30","412","0","14.05","1","ACTIVE",
"13","2017-10-30","18:30:00","570","0","3.22","1","ACTIVE",
"14","2017-10-30","18:30:30","340","0","4.18","1","ACTIVE",
"15","2017-10-30","18:31:00","172","0","29.99","1","ACTIVE",
"16","2017-10-30","18:31:30","259","0","20.75","1","ACTIVE",
"17","2017-10-30","18:32:00","166","0","26.91","1","ACTIVE",
"18","2017-10-30","18:32:30","198","0","18.22","1","ACTIVE",
"19","2017-10-30","18:33:00","441","0","55.00","1","ACTIVE",
"20","2017-10-30","18:33:30","412","0","25.77","1","ACTIVE",
"21","2017-10-30","18:34:00","351","0","139.59","1","ACTIVE",
"22","2017-10-30","18:34:30","179","0","206.14","1","ACTIVE",
"23","2017-10-30","18:35:00","185","0","215.27","1","ACTIVE",
"24","2017-10-30","18:35:30","228","0","273.19","1","ACTIVE",
"25","2017-10-30","18:36:00","3","0","583.06","1","ACTIVE",
"26","2017-10-30","18:36:30","259","0","162.44","1","ACTIVE",
"27","2017-10-30","18:37:00","198","0","250.51","1","ACTIVE",
"28","2017-10-30","18:37:30","212","0","166.00","1","ACTIVE",
"29","2017-10-30","18:38:00","198","0","250.51","1","ACTIVE",
"30","2017-10-30","18:38:30","76","0","201.73","1","ACTIVE",
"31","2017-10-30","18:39:00","153","0","107.63","1","ACTIVE",
"32","2017-10-30","18:39:30","125","0","145.76","1","ACTIVE",
"33","2017-10-30","18:40:00","139","0","148.96","1","ACTIVE",
"34","2017-10-30","18:40:30","82","0","114.86","1","ACTIVE",
"35","2017-10-30","18:41:00","172","0","128.00","1","ACTIVE",
"36","2017-10-30","18:41:30","125","0","234.75","1","ACTIVE",
"37","2017-10-30","18:42:00","120","0","229.72","1","ACTIVE",
"38","2017-10-30","18:42:30","243","0","96.59","1","ACTIVE",
"39","2017-10-30","18:43:00","179","0","136.59","1","ACTIVE",
"40","2017-10-30","18:43:30","228","0","74.48","1","ACTIVE",
