"Actiware Export File  (Version 05.00 )"
"Filename:","C:\Users\memlab\Desktop\Aging_ActigraphReports\30020_11_7_2017_10_40_00_AM_New_Analysis.csv"
"Analysis Name:","New Analysis"
"Subject Identity:","30020"
"Data Collection Start Date:","2017-11-07"
"Data Collection Start Time:","10:40:00"



"-------------------- Epoch-by-Epoch Data -------------------"

"Column Title","Notes"
"------------------","---------"
"Line:","Line Number"
"Date:","Date (start of epoch)"
"Time:","Time (start of epoch)"
"Activity:","Activity (counts)"
"Marker:","1 means Event Marker button was pressed"
"White Light:","White Light"
"Sleep/Wake:","Sleep/Wake Score (0=Sleep; 1=Wake)"
"Interval Status:","Interval Status: Active; Rest; Sleep; or Excluded"

"Line","Date","Time","Activity","Marker","White Light","Sleep/Wake","Interval Status",

"1","2017-11-07","10:40:00","330","0","39.74","NaN","ACTIVE",
"2","2017-11-07","10:40:30","149","0","71.32","NaN","ACTIVE",
"3","2017-11-07","10:41:00","70","0","53.82","NaN","ACTIVE",
"4","2017-11-07","10:41:30","84","0","69.79","NaN","ACTIVE",
"5","2017-11-07","10:42:00","56","0","83.00","1","ACTIVE",
"6","2017-11-07","10:42:30","42","0","81.22","1","ACTIVE",
"7","2017-11-07","10:43:00","198","0","86.67","1","ACTIVE",
"8","2017-11-07","10:43:30","523","0","50.43","1","ACTIVE",
"9","2017-11-07","10:44:00","416","0","77.78","1","ACTIVE",
"10","2017-11-07","10:44:30","288","0","1116.68","1","ACTIVE",
"11","2017-11-07","10:45:00","389","0","2233.36","1","ACTIVE",
"12","2017-11-07","10:45:30","389","0","1649.14","1","ACTIVE",
"13","2017-11-07","10:46:00","402","0","2383.31","1","ACTIVE",
"14","2017-11-07","10:46:30","377","0","3519.73","1","ACTIVE",
"15","2017-11-07","10:47:00","505","0","4466.72","1","ACTIVE",
"16","2017-11-07","10:47:30","402","0","3838.30","1","ACTIVE",
"17","2017-11-07","10:48:00","402","0","4277.35","1","ACTIVE",
"18","2017-11-07","10:48:30","352","0","2282.26","1","ACTIVE",
"19","2017-11-07","10:49:00","402","0","2185.50","1","ACTIVE",
"20","2017-11-07","10:49:30","473","0","980.59","1","ACTIVE",
"21","2017-11-07","10:50:00","352","0","128.00","1","ACTIVE",
"22","2017-11-07","10:50:30","319","0","51.54","1","ACTIVE",
"23","2017-11-07","10:51:00","198","0","0.01","1","ACTIVE",
"24","2017-11-07","10:51:30","2","0","0.01","1","ACTIVE",
"25","2017-11-07","10:52:00","2","0","0.01","1","ACTIVE",
"26","2017-11-07","10:52:30","11","0","0.01","1","ACTIVE",
"27","2017-11-07","10:53:00","191","0","0.01","1","ACTIVE",
"28","2017-11-07","10:53:30","212","0","5.66","1","ACTIVE",
"29","2017-11-07","10:54:00","319","0","8.72","1","ACTIVE",
"30","2017-11-07","10:54:30","261","0","9.72","1","ACTIVE",
"31","2017-11-07","10:55:00","458","0","7.50","1","ACTIVE",
"32","2017-11-07","10:55:30","594","0","12.61","1","ACTIVE",
"33","2017-11-07","10:56:00","288","0","10.37","1","ACTIVE",
"34","2017-11-07","10:56:30","105","0","13.75","1","ACTIVE",
"35","2017-11-07","10:57:00","244","0","14.05","1","ACTIVE",
"36","2017-11-07","10:57:30","0","0","14.67","1","ACTIVE",
"37","2017-11-07","10:58:00","0","0","14.36","1","ACTIVE",
