"Actiware Export File  (Version 05.00 )"
"Filename:","C:\Users\memlab\Desktop\Aging_ActigraphReports\Pilot_9_27_2017_3_50_00_PM_New_Analysis.csv"
"Analysis Name:","New Analysis"
"Subject Identity:","Pilot"
"Data Collection Start Date:","2017-09-27"
"Data Collection Start Time:","15:50:00"



"-------------------- Epoch-by-Epoch Data -------------------"

"Column Title","Notes"
"------------------","---------"
"Line:","Line Number"
"Date:","Date (start of epoch)"
"Time:","Time (start of epoch)"
"Activity:","Activity (counts)"
"Marker:","1 means Event Marker button was pressed"
"White Light:","White Light"
"Sleep/Wake:","Sleep/Wake Score (0=Sleep; 1=Wake)"
"Interval Status:","Interval Status: Active; Rest; Sleep; or Excluded"

"Line","Date","Time","Activity","Marker","White Light","Sleep/Wake","Interval Status",

"1","2017-09-27","15:50:00","NaN","0","NaN","NaN","ACTIVE",
"2","2017-09-27","15:50:30","NaN","0","NaN","NaN","ACTIVE",

